"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","change","ID"
13.2785538266023,-1.57165992267029,0.188159078728089,-8.35282535020014,6.66491637083811e-17,3.00920113043034e-15,"down","IL17A"
170.226748855349,-1.53774310465169,0.153142134753106,-10.0412803251752,1.00362916033832e-23,2.78355751088753e-21,"down","CCL20"
23.0291387420985,-1.42147888080309,0.11805972596252,-12.0403369499126,2.1806313832599e-33,1.27007240532334e-29,"down","CXCL12"
24.3809731814519,-1.38397737485429,0.171010295859969,-8.09294766665714,5.82378910685978e-16,2.2463370212839e-14,"down","GPR84"
46.6652723804171,-1.37855887543559,0.147161722414196,-9.3676456949556,7.41683904907661e-21,9.06254746185423e-19,"down","IFNG"
152.399190283709,-1.3236669127723,0.128254444931205,-10.3206318773771,5.68477914800702e-25,2.25647275257879e-22,"down","DLGAP1-AS5"
113.180436459154,-1.3223492551173,0.132754883071545,-9.96083326294406,2.26159151907972e-23,5.41325871409314e-21,"down","SIGLEC1"
9.31420745743654,-1.29154113905173,0.143816149577539,-8.98050144469622,2.69535513359254e-19,2.08558377614657e-17,"down","BGN"
498.140002220689,-1.26940707064304,0.196392407363718,-6.4636260010404,1.02223340731707e-10,1.37481807385457e-09,"down","CSF3"
7.34702991174601,-1.26694296619721,0.179307341766783,-7.06576180157235,1.59737219199635e-12,3.06129603683088e-11,"down","HAMP"
67.5844699552277,-1.25182847616857,0.1244711457476,-10.0571780604237,8.5411494614922e-24,2.40708878291376e-21,"down","COL3A1"
14.0327761934873,-1.23755541487357,0.148557189990815,-8.33049827443617,8.05028081564554e-17,3.58833052785139e-15,"down","PNMA2"
89.4987113701405,-1.22687746330796,0.152199833239513,-8.06096457002851,7.5694768062394e-16,2.85661918435035e-14,"down","FCGR1A"
410.888266431712,-1.22686076628821,0.13218438252728,-9.28143508961821,1.67211012831098e-20,1.81470684919116e-18,"down","CD163"
31.0359815504325,-1.22191431172,0.141993459447659,-8.60542673214056,7.60333548952795e-18,4.28558325833942e-16,"down","COL1A2"
8.79723795481709,-1.19724831365941,0.163027093449548,-7.3438610008092,2.07518639915423e-13,4.82819333587509e-12,"down","GRIN3A"
5.11463300716571,-1.18059723043415,0.139450195947264,-8.46608513107159,2.53778709604775e-17,1.27421706693225e-15,"down","SYT6"
23.497449150858,-1.17751765460648,0.175672937531297,-6.70289727691665,2.04327108188026e-11,3.09645061697257e-10,"down","FCGR1B"
10.2015500582931,-1.17296991285009,0.12218920149001,-9.59962008546224,8.02396323392831e-22,1.29817323691138e-19,"down","IL26"
102.68529181815,-1.16569785401954,0.0862711807297075,-13.5120192416484,1.32827578733341e-41,2.32089628320766e-37,"down","CX3CR1"
165.163151418804,-1.15985232431054,0.128870582619681,-9.00013254175671,2.25445343806642e-19,1.78244637662147e-17,"down","IL4I1"
11.1850534706613,-1.14692310721519,0.183761034881482,-6.24138358795654,4.33717167226582e-10,5.18709107662565e-09,"down","FCGR1C"
21.8160578084786,-1.13473243157246,0.130912863541289,-8.66784516721359,4.40375008549931e-18,2.60836356759083e-16,"down","CLMP"
95.6814516661604,-1.11915540733618,0.168210671970882,-6.65329609722927,2.86600781072384e-11,4.21529919838196e-10,"down","CXCL13"
2458.01893413805,-1.10844438863741,0.15231903524181,-7.27712322283117,3.41013754832437e-13,7.68843011378989e-12,"down","DUOXA2"
9.09893336091451,-1.10482929976493,0.190459058924118,-5.80087555827476,6.59695455839307e-09,6.27141387371067e-08,"down","LRRC55"
130.057918437833,-1.10262926924861,0.168016366869654,-6.56263011629112,5.28668731790962e-11,7.46760610394783e-10,"down","CXCL5"
137.781235860552,-1.09873384029436,0.0984344658945182,-11.1620846449429,6.25083855063191e-29,9.0367307709955e-26,"down","C2orf72"
281.860761553338,-1.09467922323801,0.139793125645193,-7.83070854296803,4.85128117899724e-15,1.54683277446385e-13,"down","LILRB2"
12.6918484097283,-1.08321837439095,0.123844937103175,-8.74656970020921,2.19936441676847e-18,1.40767378953097e-16,"down","SFRP2"
1698.05147039305,-1.0751804916459,0.125649518351721,-8.55698060565765,1.15862016696786e-17,6.34626024370829e-16,"down","GBP5"
8.45098979275566,-1.07150987786698,0.170083496930558,-6.29990503020088,2.97828068159413e-10,3.66475340489396e-09,"down","ADAMTS2"
113.841362445113,-1.06803355076832,0.104597429102241,-10.2108967680683,1.77219273393011e-24,6.19310472799215e-22,"down","KIAA1549L"
17.9622094407068,-1.05683715327694,0.0971743792786867,-10.8756769132122,1.505342353307e-27,1.09595195580555e-24,"down","ST6GALNAC3"
7.28946753511571,-1.05128790547766,0.153771496354065,-6.83668905098658,8.10443866867847e-12,1.32468528398334e-10,"down","LRCH2"
17.670190971476,-1.04465240362544,0.131174602672608,-7.96383127786354,1.66792648582837e-15,5.81710169398784e-14,"down","OTOF"
72.921864982742,-1.02886292766376,0.117276313526899,-8.77298148894976,1.73996649516728e-18,1.14726168188898e-16,"down","TFEC"
134.104458741852,-1.02118267845977,0.107227437669885,-9.5235202915473,1.67409809259678e-21,2.41748065883831e-19,"down","NOX1"
6.155065749458,-1.00587639977072,0.156074167390548,-6.44486154620123,1.1570599407986e-10,1.53626963112264e-09,"down","SYT1"
19.1435319548422,-0.996860228417282,0.117886294333417,-8.45611641331155,2.76429646897201e-17,1.35675708433561e-15,"down","SORCS1"
4.71771716188873,-0.995975943235892,0.156209853767494,-6.37588423018643,1.8191030583872e-10,2.32517832766638e-09,"down","CDH5"
157.823155151166,-0.995207265133406,0.109132715408649,-9.11923854736723,7.56539935798087e-20,7.14541745848647e-18,"down","ADAMDEC1"
