"learner_id","classif.acc","classif.auc","classif.npv","classif.ppv","classif.sensitivity","classif.specificity","classif.bbrier"
"randomForest",0.7533044846577498,0.8019158183782061,0.7285413451980853,0.7950680623126444,0.664368530020704,0.8399666760930424,0.17420888869882759
"logistic",0.7061500131130344,0.7948683391989253,0.7122279514509453,0.6992951015531661,0.6856322662844402,0.7270112139114399,0.18498312905474437
"decisionTree",0.7370836611591922,0.752030582833311,0.6862801895473538,0.8551253724754442,0.5492944736422998,0.9112872612958013,0.18779759424117312
"kknn",0.7354051927616051,0.7947853163618206,0.730106464951895,0.7474583709919178,0.6824279343844561,0.7870013266442213,0.18699648846155079
