"","acc","auc","npv","ppv","sensitivity","specificity","bbrier"
"rf",0.750091791240493,0.80892890082255,0.733112124538787,0.781198679609985,0.678541958710335,0.819171607378129,0.172516280171737
"logis",0.719118804091267,0.797291586550057,0.724954004329004,0.71934483364048,0.690638451708367,0.747921607378129,0.183790449728371
"dtree",0.743548387096774,0.7779026135911,0.709741802912535,0.821998363685255,0.61401637037509,0.86701663372859,0.182983366622566
"knn",0.730579596118542,0.791412620463165,0.724529472621656,0.746626463599201,0.675248414114382,0.784853425559947,0.191646324549634
